Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
381,Kings,UK Academic app form,,AG,12/12/2011,09/01/2012,JA,,
382,Kings,Christmas card,,AG,12/12/2011,16/12/2011,EC/JA,,
383,Kings,Kazakh banners,"Asset as lead, UK academic banner",SB,19/12/2011,25/01/2012,JA/EC,,
384,Kings,London Homestay campaign,Big run of mailers for local distribution,LH,20/12/2011,13/01/2012,EC,,
385,Kings,Albanian fair materials,Ads and video for Albanian fair,NA,20/12/2011,13/01/2012,JA/WMS,,
386,Kings,General posters,"Course posters — Generic, UK and US academic. Plus one summer. Need a version for Arabic market so reduced flesh. base on the aesthetic developed for banners, ads, etc.",JC,23/12/2011,13/01/2012,EC/JA,,
387,Kings,SACM promo,General promo sheet,JC,16/12/2011,23/12/2011,JA,,
389,Kings,Trotamundos ad,Ad for agent magazine,JC,16/12/2011,23/12/2011,JA,,
390,Kings,Boston Homestay campaign,Stuff,AM,,,EC,,
391,Kings,Study.UA Prize Certificate,Prize certificate for Dave to use at a particular fair,DF,05/01/2012,,EC,,
392,Kings,Licas invitation,University roadshow invite for Jose F,JF,,,JA,,
393,Kings,Branded summer e-materials,Branding of excel document timetables,PR (EG?),,,EC,,
394,Kings,Star Travel Education Catalogue ad,198x280 ad for catalogue,DF,,,EC,,
396,Kings,Thailand double promo flyer(s),"Create a flyer for two separate Thai promos, spread over 2 sheets",KH,06/01/2012,06/01/2012,EC,,
397,Kings,Polish A4 flyer,Summer flyer for Polish market,NA,10/01/2012,29/01/2012,JA,,
398,Kings,Global Connections ad,Agent publication ad. General overview — All courses and locations (base on J.374),JC,11/01/2012,20/01/2012,EC,,
399,Kings,Alternatif Magazine ad,"Same requirements as J.398, but resized",JC,11/01/2012,20/01/2012,EC,,
400,Kings,Turkish promo,"Adapt existing promo, add reference",JC,11/01/2012,13/01/2012,EC,,
401,Kings,STM March 2012 ,Summer programmes ad,AG,13/01/2012,20/01/2012,JA,,
403,Kings,UK academic plus general presentation,,MT/AH,23/01/2012,29/01/2012,WMS,,
405,Kings,Olympiad certificates,Certificates for three different requirements.,OG,24/01/2012,24/02/2012,EC,,
406,Kings,USA Course Certificates,Certificates for courses in the USA,AM,,,JA/EC,,
407,Kings,Young Enterprise materials,Lanyard inserts for YE presentation,RG,25/01/2012,25/01/2012,JA,,
409,Kings,Colombia promo,Promo flyer for Jose Corrie with discounts at all Colleges,JC,26/01/2012,31/01/2012,EC,,
410,Kings,UK Academic presentation,,AH,27/01/2012,27/01/2012,WMS,,
411,Kings,Brazil 20% discount flyer,Promo flyer for José Corrie with 20% discount for Boston,JC,30/01/2012,02/02/2012,EC,,
412,Kings,Bespoke poster for Russian market,co -branded landscape poster for agent office,DF,01/02/2012,28/02/2012,EC,,
413,Kings,IEF 2012 catalogue,Kaz/Russian DPS ad in English Russian,SB,06/02/2012,15/03/2012,JA,,
415,Kings,Study International banner,"Large format street banner for the US Pathway Program, 12 feet x 4 feet. Artwork to be uploaded.
Also, backdrop for SI's area at fair.",KH,07/02/2012,14/02/2012,JA/EC,"JA working on draft.
KH asked for further info on backdrop",
419,Kings,STB fair materials,Banner for STB's Salão do Estudante. To focus on EFL and academic with a leaning towards fun. Attractive European faces.,JF,08/02/2012,10/02/2012,JA,JA working on material. Will send required to JC,
421,Kings,Experimento tshirt,Artwork for local print,JC,14/02/2012,19/02/2012,JA,Experimento sourcing local suplier,
422,Kings,Kings Boston wall prints/signs,"Big, striking pieces to adorn Boston walls, some decorative, some functional",AM,15/02/2012,,JA/EC/WMS,Sent,
423,Kings,International High School brochure,mini brochure for U16 academic year product,SR,20/02/2012,26/02/2012,,,
424,Kings,Bournemouth residence offer flyer,Town centre launch flyer with discount,DW,22/02/2012,24/02/2012,EC,,
425,Kings,Getting to Boston details,Simple factsheet about how to get to Boston,EP,24/02/2012,24/02/2012,EC,,
426,Kings,STM May 12,Theme High Schools,AG,24/02/2012,16/03/2012,JA/WMS,,
427,Kings,Academic advert,1/2 page A4 ad featuring US and UK academic courses,KH,27/02/2012,01/03/2012,EC,,
428,Kings,Bournemouth Town Centre Res Signage,Internal and external signage for Town Centre Residence,AG,28/02/2012,16/03/2012,JA/EC,Contact Drewett ASAP to have external sign fabricated,
429,Kings,Boston residence promo,"A small, probably one sided promo about the Boston Residence",JF,29/02/2012,02/03/2012,JA/EC,,
430,Kings,USP overview,Overview of Kings ,SR,29/02/2012,06/03/2012,,,
431,Kings,Study.UA Fair promotion,Resize of job 394,DF,29/02/2012,01/03/2012,EC,,
432,Kings,International High School Price sheet,Prices for IHSP,AG,02/03/2012,05/03/2012,EC,,
434,Kings,Nigarian Newspaper Ad,"Ad for Tim Kerr Dineen's trip to Nigeria, based on job 188 or 259",TKD,05/03/2012,,EC,,
435,Kings,Pie news web ad,Revised version of banner ad for next 3 months,AG,05/03/2012,09/03/2012,AG,,
437,Kings,Brazillian promo flyer,"Simple, standard promo flyer for Jose Corrie",JC,14/02/2012,14/03/2012,EC,,
439,Kings,Registration signs,Door handle signs for classrooms indicating full class or missing students,NN,15/03/2012,31/03/2012,JA ,,
440,Kings,China roadshow ad,2 x ads to advertise China Roadshow!,JP,15/03/2012,22/03/2012,JA,JC to supply more detailed spec,
441,Kings,Turkey Teorem ad,,JC,15/03/2012,21/03/2012,EC,,
442,Kings,Malaysian roadshow ad,,KH,16/03/2012,23/03/2012,JA/EC,,
443,Kings,Finance Dept Contact Sheet,"Contact sheet PDF showing just 4 finance dept people, 1 for each college",JC,19/03/2012,,JA/EC,Need an image of Paul Fields,
446,Kings,StudyAbroad guide ad,"Ad for StudyAbroad's guide, focussing on US Pathways",KH,28/03/2012,,JA/EC,More info needed from KH,
447,Kings,IELTS elements,Working with Simon Yates to create materials for Kings Oxford's IELTS team,JLC,15/03/2012,,JA ,Ongoing for now,
449,Kings,Spring Japan Promo Flyer,Basic promo flyer,TY,03/04/2012,03/04/2012,EC,,
452,Kings,Vacation Plus Film Flyer,Flyer for shorter version of Vac plus film course,TY,06/04/2012,12/04/2012,EC,,
455,Kings,US Accommodation handbook,Edit of job 100,AM,06/04/2012,06/05/2012,JA/EC,With AM for further amends prior to CMU editing,
456,Kings,Reception Student Cards,"Small cards which are given, summoning students to reception",EE,18/04/2012,,EC,,
466,Kings,Korea email template,,KH,19/04/2012,25/04/2012,JA,,
471,Kings,Link Building Promo,A flyer to send to agents alerting them of the current building work in London,AG,25/04/2012,,EC,,
474,Kings,Libyan Quote,Snazzy InDesign document containing details of a Libyan proposal,SB,30/04/2012,,EC,,
477,Kings,Osvita.ua banner ad,"6 slides, 300x250px GIF",DF,02/05/2012,09/05/2012,EC/JA,,
478,Kings,Testimonial forms,"For Japan, Taiwan and Korea, based on word docs supplied by TY",TY,02/05/2012,09/05/2012,EC,,
479,Kings,Bournemouth Homestay Newspaper ad,70x57.5mm ad for Bournemouth Echo advertising homestay,DB,03/05/2012,,EC,,
